A;Augsburg;false;false
AA;Ostalbkreis;false;false
AB;Aschaffenburg;false;false
ABG;Altenburger Land;false;false
ABI;Anhalt-Bitterfeld;false;false
AC;Aachen;false;false
AE;Vogtlandkreis;false;false
AH;Borken;false;false
AIB;München, Rosenheim;false;false
AIC;Aichach-Friedberg;false;false
AK;Altenkirchen (Westerwald);false;false
ALF;Hildesheim;false;false
ALZ;Aschaffenburg;false;false
AM;Amberg, Stadt;false;false
AN;Ansbach;false;false
ANA;Erzgebirgskreis;false;false
ANG;Uckermark;false;false
ANK;Vorpommern-Greifswald;false;false
AP;Weimarer Land;false;false
APD;Weimarer Land;false;false
ARN;Ilm-Kreis;false;false
ART;Kyffhäuserkreis;false;false
AS;Amberg-Sulzbach;false;false
ASL;Salzlandkreis;false;false
ASZ;Erzgebirgskreis;false;false
AT;Mecklenburgische Seenplatte;false;false
AU;Erzgebirgskreis;false;false
AUR;Aurich;false;false
AW;Ahrweiler;false;false
AZ;Alzey-Worms;false;false
AZE;Anhalt-Bitterfeld;false;false
AÖ;Altötting;false;false
B;Berlin;false;false
BA;Bamberg;false;false
BAD;Baden-Baden, Stadt;false;false
BAR;Barnim;false;false
BB;Böblingen;false;false
BBG;Salzlandkreis;false;false
BC;Biberach;false;false
BCH;Neckar-Odenwald-Kreis;false;false
BE;Warendorf;false;false
BED;Mittelsachsen;false;false
BER;Barnim;false;false
BF;Steinfurt;false;false
BGD;Berchtesgadener Land;false;false
BGL;Berchtesgadener Land;false;false
BH;Ortenaukreis, Raststatt;false;false
BI;Bielefeld, Stadt;false;false
BID;Marburg-Biedenkopf;false;false
BIN;Mainz-Bingen;false;false
BIR;Birkenfeld;false;false
BIT;Eifelkreis Bitburg-Prüm;false;false
BIW;Bautzen;false;false
BK;Börde, Rems-Murr-Kreis, Schwäbisch Hall;false;false
BKS;Bernkastel-Wittlich;false;false
BL;Zollernalbkreis;false;false
BLB;Siegen-Wittgenstein;false;false
BLK;Burgenlandkreis;false;false
BM;Rhein-Erft-Kreis;false;false
BN;Bonn, Stadt;false;false
BNA;Leipzig;false;false
BO;Bochum, Stadt;false;false
BOG;Straubing-Bogen;false;false
BOH;Borken;false;false
BOR;Borken;false;false
BOT;Bottrop, Stadt;false;false
BR;Landkreis Karlsruhe;false;false
BRA;Wesermarsch;false;false
BRB;Brandenburg, Stadt;false;false
BRG;Jerichower Land;false;false
BRK;Bad Kissingen;false;false
BRL;Goslar;false;false
BRV;Rotenburg (Wümme);false;false
BS;Braunschweig, Stadt;false;false
BSB;Osnabrück;false;false
BSK;Oder-Spree;false;false
BT;Bayreuth;false;false
BTF;Anhalt-Bitterfeld;false;false
BUL;Amberg-Sulzbach, Schwandorf;false;false
BZ;Bautzen;false;false
